Source,Speaker,Mic,SignalType,Band,EDT,RT20,RT30,RT60,C50,C80,D50,D80
omnipower,1,3,Sine,630,2.03096204234768,0.427578815408475,0.407366230254829,0.407366230254829,-8.16309673013614,-5.02844744254069,13.243224178551,23.9059478366537
omnipower,1,3,Sine,800,1.82577050225323,0.484666238008031,0.641127006894987,0.641127006894987,-6.64396057252875,-4.0834849003068,17.8018785920528,28.0848403238427
omnipower,1,3,Sine,1000,0.630220228589695,3.30713766880245,2.93515670778464,2.93515670778464,2.04464304380202,6.24404799494399,61.557225029733,80.8105237285901
omnipower,1,3,Sine,1250,1.72949197251941,0.515199214851418,3.21583563176007,3.21583563176007,-6.62915754061149,-3.99526992314952,17.8518096262868,28.4969122098411
omnipower,1,3,Sine,1600,4.03416801725619,7.41010940943053,6.77160120423952,6.77160120423952,-9.57629336507123,-8.26571514835076,9.93003249237922,12.9740939556009
omnipower,1,3,Sine,2000,2.38769771917205,7.22864838371145,8.39701280736389,8.39701280736389,-7.26228491381808,-4.72623315304476,15.813069626106,25.1946940203563
omnipower,1,3,Sine,2500,2.6104978140978,11.9138917476008,10.4717167052929,10.4717167052929,-9.58365723024001,-7.3397667371564,9.91487745127024,15.5770086988177
omnipower,1,3,Sine,3150,15.6088492205074,14.3874100831493,13.378125332463,13.378125332463,-7.42255832322136,-5.78655424386343,15.327954997945,20.8762100130041
omnipower,1,3,Sine,4000,2.84798132456409,19.1512508435076,17.009646427646,17.009646427646,-8.01762012121337,-5.879524776853,13.6328478395355,20.524808184196
omnipower,1,3,Sine,5000,28.5868528200062,10.8653206996869,10.2019090902142,10.2019090902142,-5.26261770285503,-3.15555694094892,22.9389344177966,32.5942630981408
omnipower,1,3,Sine,6300,32.168840847977,10.1211240716663,9.33209774139852,9.33209774139852,-7.1788070545462,-4.74742209828066,16.0706410388042,25.1028522221491
omnipower,1,3,Sine,8000,3.00453560400327,1.34593559871466,1.20624379108191,1.20624379108191,-3.93203004969913,-2.43715627370732,28.7945469151731,36.3275406518974
omnipower,1,3,Sine,10000,20.8674811434842,3.62446533225478,3.45080385760528,3.45080385760528,-12.7221617442016,-11.9377488870829,5.07198793471497,6.01562517521341
omnipower,1,3,Sine,12500,2.97704676806484,1.41246290311958,1.33027404361759,1.33027404361759,-8.41358069685378,-6.8248121315114,12.5944939442544,17.2006780520464
omnipower,1,3,Sine,16000,2.72865800945147,0.621314557874014,0.550644843343414,0.550644843343414,-8.93156843262451,-6.62669304785284,11.3390237690241,17.8601330634914
omnipower,1,3,Sine,20000,1.09758681478893,2.82527952487874,2.39083266100493,2.39083266100493,-1.46404320628196,1.35482269403535,41.651205031143,57.7363469404066
omnipower,1,3,WhiteNoise,125,1.76534557661676,0.251822265596468,0.222265439402544,0.222265439402544,1.84899252066007,2.3786155022123,60.4857458831919,63.360098711393
omnipower,1,3,WhiteNoise,250,1.01140928284756,0.526844876469531,0.476151534516107,0.476151534516107,1.76560493503137,3.03523063423224,60.0259280499276,66.7941110655422
omnipower,1,3,WhiteNoise,500,1.27330340705207,0.343101977452247,0.313676988265184,0.313676988265184,-2.847009259447,-1.38967522952732,34.174037522197,42.0679513928564
omnipower,1,3,WhiteNoise,1000,1.32066352922371,0.294478763244196,0.277559263325363,0.277559263325363,-4.74305968973299,-2.02945789164407,25.1217425267843,38.5255508282526
omnipower,1,3,WhiteNoise,2000,1.3153919920698,0.279244168601086,0.241021493871869,0.241021493871869,-5.47035309580164,-2.16718632654268,22.1043558470244,37.777262363896
omnipower,1,3,WhiteNoise,4000,1.27448202306188,0.283516406093419,0.272653794236018,0.272653794236018,-5.74029062236431,-2.48802559525145,21.0527159834708,36.057045586595
omnipower,1,3,WhiteNoise,8000,1.27073073515542,0.327379147571489,0.318266214451404,0.318266214451404,-5.04460909234084,-2.19435249965846,23.8383183577719,37.6303391510214
omnipower,1,4,Sine,50,0.979719609680385,0.711006273469706,0.65882474289666,0.65882474289666,3.72490708739639,5.25846087879343,70.2178128128151,77.0441417756978
omnipower,1,4,Sine,63,3.39679904868817,2.97810907427535,2.78805616003259,2.78805616003259,2.67579853030005,4.8303190827205,64.9336814821442,75.2543142109922
omnipower,1,4,Sine,80,4.9242716079244,5.36839749735816,4.75558490438392,4.75558490438392,-5.62754477718514,-4.05938695874202,21.4874393622249,28.1970461375858
omnipower,1,4,Sine,100,0.780014312579441,7.08537921097077,6.35461607364969,6.35461607364969,3.49673004557241,6.7240098498084,69.1075431352414,82.4662349745128
omnipower,1,4,Sine,125,3.14936035560558,0.851160334385321,7.07256255336135,7.07256255336135,-8.38098602751994,-6.13866875788,12.6773455008385,19.5685636288989
omnipower,1,4,Sine,160,3.85343369912354,1.0257759954261,8.40930443013211,8.40930443013211,-5.68019963779587,-3.53931565228764,21.2836066306298,30.6835080019603
omnipower,1,4,Sine,200,0.442318868646098,11.5909935024068,14.1146089108429,14.1146089108429,5.37051294044867,11.3163006574421,77.4972739951334,93.1225890430304
omnipower,1,4,Sine,250,0.479948731015592,21.1541032941515,16.2500990314022,16.2500990314022,6.27308436311249,11.4776663141797,80.9139887868146,93.3567714674464
omnipower,1,4,Sine,315,1.37664268212456,0.396515589971879,10.8808574415494,10.8808574415494,-5.21285147308339,-2.30581838424231,23.142124605456,37.0299002862867
omnipower,1,4,Sine,400,3.22923658448918,13.1697266787153,18.7528995811167,18.7528995811167,-7.67418231949255,-6.11639156855573,14.5910099745912,19.6494244897477
omnipower,1,4,Sine,500,0.353866589799439,33.2940985334762,24.7809238664587,24.7809238664587,8.10736506823,12.5449470526162,86.6086392831432,94.7279050009155
omnipower,1,4,Sine,630,2.23581290488553,0.674148210296001,0.638730739241195,0.638730739241195,-6.29848014764462,-3.80146763784946,18.9958685268211,29.4148471373849
omnipower,1,4,Sine,800,2.60723507816172,0.530340538789111,0.614234336230676,0.614234336230676,-8.92932032207069,-6.62739776575773,11.3442288613934,17.8577526794511
omnipower,1,4,Sine,1000,0.320991883000948,0.88881531563039,2.57661743620501,2.57661743620501,8.62550474878915,15.354519752499,87.9329486288949,97.1681391437977
omnipower,1,4,Sine,1250,0.539703381921741,0.554401829884524,3.77872955118721,3.77872955118721,-0.150505007462337,7.52228183236142,49.1337102309804,84.9676928002591
omnipower,1,4,Sine,1600,0.301314038727479,2.41049130519313,7.02184321923716,7.02184321923716,9.78965931623055,12.9461079438483,90.5008107872619,95.1706123276143
omnipower,1,4,Sine,2000,0.37878283376794,9.91898322702995,9.6443452832543,9.6443452832543,8.10763021546452,11.3852708083002,86.6093473577303,93.2236035581814
omnipower,1,4,Sine,2500,3.13404329357527,0.784232530069577,9.15943372557299,9.15943372557299,-8.98653939737587,-6.35684004109171,11.2123952860076,18.7899552466666
omnipower,1,4,Sine,3150,3.30086554770942,9.46255420904185,12.9421421713657,12.9421421713657,-7.80112494617924,-5.80883238088435,14.2305062974736,20.7916034588255
omnipower,1,4,Sine,4000,3.0430258692227,0.619531958374176,15.466065491957,15.466065491957,-8.97293926775935,-6.69555275823187,11.2436083898999,17.6287119432755
omnipower,1,4,Sine,5000,3.12284716632882,0.60383431260833,15.9905365218617,15.9905365218617,-9.10526663592798,-6.8660666901091,10.94311216517,17.0658110488472
omnipower,1,4,Sine,6300,40.1801111471263,22.4748859956991,21.7692768724097,21.7692768724097,2.81478042951015,4.25134046092877,65.6588295219928,72.6891350366145
omnipower,1,4,Sine,8000,1.37130235472195,0.283673069132502,0.268361087865372,0.268361087865372,-6.19262722035082,-3.14695484548133,19.3737517094529,32.6377949942599
omnipower,1,4,Sine,10000,3.45700987379724,0.818591169392028,0.75516541383689,0.75516541383689,-9.03274292707677,-7.09042402530599,11.1069203994008,16.3470332279187
omnipower,1,4,Sine,12500,6.314669060354,3.18671698053781,2.93127821594864,2.93127821594864,-12.008604668783,-9.06227188039065,5.92404268999172,11.0399663684674
omnipower,1,4,Sine,16000,2.28681953371716,0.512159675190634,0.447711173319851,0.447711173319851,-8.16974803624799,-5.66149129202551,13.2256378467647,21.3558667016373
omnipower,1,4,Sine,20000,2.04064474983727,0.948297892525313,0.921917194123877,0.921917194123877,-4.79168482976456,-2.33729484171654,24.9117182529503,36.8610590588885
omnipower,1,4,WhiteNoise,125,8.80546965533981,3.01129843407201,2.9071321630628,2.9071321630628,0.834364029674404,1.10502162081509,54.7882666357337,56.3269188071609
