Method;Speaker;Microphone;Frequency in Hz;EDT in s;RT10 in s;RT20 in s;RT30 in s;RT60 in s;C50 in dB;C80 in dB;D50;D80
Sweep;1;5;12500;0.060060326;0.063019965;NaN;NaN;NaN;7.916718527;12.88216054;0.860912759;0.951024846
Sweep;1;5;16000;NaN;NaN;NaN;NaN;NaN;4.578285492;6.005659993;0.741578527;0.799449025
Sweep;1;5;20000;NaN;NaN;NaN;NaN;NaN;-2.130098569;-1.527082199;0.379782072;0.412988741
Sweep;1;6;50;NaN;NaN;NaN;NaN;NaN;-21.18634651;-18.40454453;0.007552192;0.014233755
Sweep;1;6;63;NaN;NaN;NaN;NaN;NaN;-6.860740426;-3.916336811;0.17083176;0.288686923
Sweep;1;6;80;NaN;NaN;NaN;NaN;NaN;-0.412175485;0.995023708;0.476291065;0.55702892
Sweep;1;6;100;NaN;NaN;NaN;NaN;NaN;-5.744931732;-3.510179027;0.210349598;0.308263836
Sweep;1;6;125;5.098108188;NaN;NaN;NaN;NaN;-5.786043944;-1.818428186;0.20878151;0.396825821
Sweep;1;6;160;NaN;NaN;NaN;NaN;NaN;-1.83581811;0.720987338;0.395867798;0.541408308
Sweep;1;6;200;NaN;NaN;NaN;NaN;NaN;-1.157158824;0.488221994;0.433779886;0.528074757
Sweep;1;6;250;NaN;4.703596931;NaN;NaN;NaN;-2.005321934;-0.026385956;0.38657255;0.498481107
Sweep;1;6;315;0.042799129;NaN;NaN;NaN;NaN;9.357837183;11.95963288;0.896109173;0.940128009
Sweep;1;6;400;NaN;NaN;NaN;NaN;NaN;4.552595517;6.914129151;0.740443295;0.830902512
Sweep;1;6;500;NaN;0.114059859;NaN;NaN;NaN;5.847224844;7.925817784;0.793536071;0.861163451
Sweep;1;6;630;0.121718903;NaN;NaN;NaN;NaN;2.407261102;6.782619169;0.635130875;0.826605152
Sweep;1;6;800;0.121965877;0.130370986;NaN;NaN;NaN;2.520497807;5.971729596;0.641151634;0.798193471
Sweep;1;6;1000;0.097565858;NaN;0.242319338;NaN;0.726958015;1.389742683;7.256150627;0.579324271;0.841681177
Sweep;1;6;1250;0.102806733;0.091210177;NaN;NaN;NaN;0.834902168;6.519716825;0.54791336;0.817756406
Sweep;1;6;1600;0.113145157;0.102145758;0.224904847;NaN;0.674714541;1.109374333;5.071987542;0.563515723;0.762759483
Sweep;1;6;2000;0.1264633;0.119041906;0.256152268;NaN;0.768456803;2.747872203;5.57002002;0.653106175;0.782882596
Sweep;1;6;2500;0.123342301;0.10813232;0.246374665;NaN;0.739123995;1.310405824;5.18333606;0.574865886;0.767367743
Sweep;1;6;3150;0.125424666;0.122935909;0.243442643;NaN;0.730327928;2.010827672;5.86173453;0.613728032;0.794082908
